360.cn, 101.198.193.22
craigslist.org, 208.82.237.226
soku.com, 106.11.47.20
weather.com, 23.79.192.175
alibaba.com, 198.11.132.23
livedoor.jp, 203.104.153.16
renren.com, 120.133.2.243
hotmail.com, 204.79.197.212
blogger.com, 172.217.1.201
vkontakte.ru, 95.213.4.229
answers.com, 151.101.192.203
facebook.com, 157.240.28.35
wordpress.com, 192.0.78.17
amazon.com, 176.32.103.205
tudou.com, 106.11.47.20
youtube.com, 172.217.2.14
rapidshare.com, 0.0.0.0
yahoo.co.jp, 182.22.59.229
megaupload.com, 
live.com, 204.79.197.212
7k7k.com, 101.200.128.82
wikipedia.org, 208.80.153.224
2345.com, 42.62.30.180
yahoo.com, 98.137.246.8
photobucket.com, 209.17.68.100
ehow.com, 23.227.13.162
baidu.com, 220.181.57.216
apple.com, 17.172.224.47
mediafire.com, 104.19.194.29
hao123.com, 220.181.163.1
windows.com, 40.113.200.201
ebay.com, 66.211.160.86
seesaa.net, 143.204.31.12
pps.tv, 101.227.188.174
alipay.com, 110.75.139.5
xunlei.com, 47.98.65.156
56.com, 101.227.173.126
softonic.com, 35.190.12.174
fc2.com, 54.191.118.67
sogou.com, 119.28.109.132
paypal.com, 64.4.250.36
nifty.com, 222.158.213.148
imageshack.us, 208.94.3.18
ifeng.com, 123.103.122.24
tmall.com, 140.205.94.193
bbc.co.uk, 151.101.64.81
sohu.com, 123.125.116.28
cnn.com, 151.101.65.67
ku6.com, 117.50.1.222
about.com, 151.101.1.121
rakuten.co.jp, 133.237.61.176
myspace.com, 63.135.90.70
mywebsearch.com, 74.113.237.222
cnet.com, 64.30.228.118
go.com, 23.236.60.174
4399.com, 118.184.184.70
msn.com, 13.82.28.61
tianya.cn, 124.225.65.154
mail.ru, 94.100.180.200
orkut.com, 216.239.38.21
microsoft.com, 40.113.200.201
ameblo.jp, 72.247.114.130
skype.com, 40.121.80.200
naver.com, 210.89.164.90
4shared.com, 204.155.149.43
orkut.com.br, 
zynga.com, 52.84.216.8
flickr.com, 69.147.92.11
dailymotion.com, 195.8.215.136
partypoker.com, 195.72.135.96
taobao.com, 140.205.94.189
blogspot.com, 172.217.12.9
linkedin.com, 108.174.10.10
walmart.com, 161.170.239.170
kugou.com, 183.131.48.92
daum.net, 203.133.167.81
aol.com, 66.218.87.12
imdb.com, 52.94.225.248
hp.com, 15.73.192.108
paipai.com, 
yandex.ru, 77.88.55.55
pconline.com.cn, 219.136.245.40
bing.com, 13.107.21.200
ebay.de, 66.211.181.20
soso.com, 118.191.216.57
sina.com.cn, 202.108.33.107
hotfile.com, 18.207.9.28
amazon.co.jp, 52.119.164.121
qiyi.com, 101.227.188.174
twitter.com, 104.244.42.193
mozilla.com, 63.245.208.194
odnoklassniki.ru, 5.61.23.11
youku.com, 106.11.47.19
ask.com, 151.101.70.114
andysayler.com, 138.197.228.157
adobe.com, 193.104.215.58
163.com, 123.58.180.8
wmfo.org, 23.92.21.128
qq.com, 111.161.64.48
jp.msn.com, 13.88.15.24
youdao.com, 61.135.218.30
goo.ne.jp, 153.254.147.65
sdjjdsaf.com, 
