gcc -c -g -Wall -Wextra pager-predict.c
gcc -g -Wall -Wextra simulator.o pager-predict.o -o test-predict
00000000: random seed 548808111
00000000: using 20 processors
process 4, page 5, oldpageret 0 BUFFER
process 6, page 5, oldpageret 0 BUFFER
process 7, page 5, oldpageret 0 BUFFER
process 13, page 5, oldpageret 0 BUFFER
process 14, page 5, oldpageret 0 BUFFER
process 15, page 5, oldpageret 0 BUFFER
process 18, page 5, oldpageret 0 BUFFER
process 19, page 5, oldpageret 0 BUFFER
process 1, page 5, oldpageret 0 BUFFER
process 3, page 5, oldpageret 0 BUFFER
process 10, page 5, oldpageret 0 BUFFER
process 12, page 5, oldpageret 0 BUFFER
process 2, page 6, oldpageret 0 BUFFER
process 3, page 6, oldpageret 1 BUFFER
process 4, page 6, oldpageret 1 BUFFER
process 6, page 6, oldpageret 1 BUFFER
process 7, page 6, oldpageret 1 BUFFER
process 10, page 6, oldpageret 1 BUFFER
process 12, page 6, oldpageret 1 BUFFER
process 13, page 6, oldpageret 1 BUFFER
process 14, page 6, oldpageret 1 BUFFER
process 15, page 6, oldpageret 1 BUFFER
process 18, page 6, oldpageret 1 BUFFER
process 19, page 6, oldpageret 1 BUFFER
process 1, page 7, oldpageret 1 BUFFER
process 2, page 7, oldpageret 1 BUFFER
process 3, page 7, oldpageret 2 BUFFER
process 4, page 7, oldpageret 2 BUFFER
process 6, page 7, oldpageret 2 BUFFER
process 7, page 7, oldpageret 2 BUFFER
process 10, page 7, oldpageret 2 BUFFER
process 12, page 7, oldpageret 2 BUFFER
process 13, page 7, oldpageret 2 BUFFER
process 14, page 7, oldpageret 2 BUFFER
process 15, page 7, oldpageret 2 BUFFER
process 18, page 7, oldpageret 2 BUFFER
process 1, page 8, oldpageret 2 BUFFER
process 2, page 8, oldpageret 2 BUFFER
process 3, page 8, oldpageret 3 BUFFER
process 4, page 8, oldpageret 3 BUFFER
process 6, page 8, oldpageret 3 BUFFER
process 7, page 8, oldpageret 3 BUFFER
process 10, page 8, oldpageret 3 BUFFER
process 12, page 8, oldpageret 3 BUFFER
process 13, page 8, oldpageret 3 BUFFER
process 14, page 8, oldpageret 3 BUFFER
process 15, page 8, oldpageret 3 BUFFER
process 18, page 8, oldpageret 3 BUFFER
process 1, page 9, oldpageret 3 BUFFER
process 5, page 4, oldpageret 10 BUFFER
process 15, page 0, oldpageret 4 BUFFER
process 18, page 0, oldpageret 4 BUFFER
process 2, page 9, oldpageret 3 BUFFER
process 3, page 9, oldpageret 4 BUFFER
process 4, page 9, oldpageret 4 BUFFER
process 6, page 9, oldpageret 4 BUFFER
process 7, page 9, oldpageret 4 BUFFER
process 10, page 9, oldpageret 4 BUFFER
process 12, page 9, oldpageret 4 BUFFER
process 13, page 9, oldpageret 4 BUFFER
process 14, page 9, oldpageret 4 BUFFER
process 1, page 10, oldpageret 4 BUFFER
process 2, page 10, oldpageret 4 BUFFER
process 3, page 10, oldpageret 5 BUFFER
process 4, page 10, oldpageret 5 BUFFER
process 5, page 5, oldpageret 11 BUFFER
process 6, page 10, oldpageret 5 BUFFER
process 7, page 10, oldpageret 5 BUFFER
process 10, page 10, oldpageret 5 BUFFER
process 12, page 10, oldpageret 5 BUFFER
process 13, page 10, oldpageret 5 BUFFER
process 14, page 10, oldpageret 5 BUFFER
process 15, page 1, oldpageret 5 BUFFER
process 18, page 1, oldpageret 5 BUFFER
process 1, page 11, oldpageret 5 BUFFER
process 11, page 4, oldpageret 10 BUFFER
process 2, page 11, oldpageret 5 BUFFER
process 3, page 11, oldpageret 6 BUFFER
process 4, page 11, oldpageret 6 BUFFER
process 13, page 11, oldpageret 6 BUFFER
process 5, page 6, oldpageret 0 BUFFER
process 6, page 11, oldpageret 6 BUFFER
process 7, page 11, oldpageret 6 BUFFER
process 10, page 11, oldpageret 6 BUFFER
process 12, page 11, oldpageret 6 BUFFER
process 14, page 11, oldpageret 6 BUFFER
process 15, page 2, oldpageret 6 BUFFER
process 18, page 2, oldpageret 6 BUFFER
process 13, page 0, oldpageret 7 BUFFER
process 1, page 12, oldpageret 6 BUFFER
process 2, page 12, oldpageret 6 BUFFER
process 3, page 12, oldpageret 7 BUFFER
process 4, page 12, oldpageret 7 BUFFER
process 5, page 7, oldpageret 1 BUFFER
process 6, page 12, oldpageret 7 BUFFER
process 7, page 12, oldpageret 7 BUFFER
process 10, page 12, oldpageret 7 BUFFER
process 11, page 5, oldpageret 11 BUFFER
process 12, page 12, oldpageret 7 BUFFER
process 14, page 12, oldpageret 7 BUFFER
process 15, page 3, oldpageret 7 BUFFER
process 18, page 3, oldpageret 7 BUFFER
process 1, page 13, oldpageret 7 BUFFER
process 2, page 13, oldpageret 7 BUFFER
process 3, page 13, oldpageret 8 BUFFER
process 4, page 13, oldpageret 8 BUFFER
process 5, page 8, oldpageret 2 BUFFER
process 6, page 13, oldpageret 8 BUFFER
process 7, page 13, oldpageret 8 BUFFER
process 10, page 13, oldpageret 8 BUFFER
process 11, page 6, oldpageret 0 BUFFER
process 12, page 13, oldpageret 8 BUFFER
process 13, page 1, oldpageret 8 BUFFER
process 14, page 13, oldpageret 8 BUFFER
process 15, page 4, oldpageret 8 BUFFER
process 18, page 4, oldpageret 8 BUFFER
process 1, page 14, oldpageret 8 BUFFER
process 3, page 14, oldpageret 9 BUFFER
process 5, page 9, oldpageret 3 BUFFER
process 10, page 14, oldpageret 9 BUFFER
process 11, page 7, oldpageret 1 BUFFER
process 12, page 14, oldpageret 9 BUFFER
process 13, page 2, oldpageret 9 BUFFER
process 15, page 5, oldpageret 0 BUFFER
process 18, page 5, oldpageret 0 BUFFER
process 9, page 4, oldpageret 10 BUFFER
process 1, page 2, oldpageret 0 BUFFER
process 9, page 6, oldpageret 11 BUFFER
process 19, page 8, oldpageret 2 BUFFER
process 3, page 2, oldpageret 0 BUFFER
process 10, page 2, oldpageret 0 BUFFER
process 12, page 2, oldpageret 0 BUFFER
process 11, page 10, oldpageret 2 BUFFER
process 15, page 8, oldpageret 1 BUFFER
process 18, page 8, oldpageret 1 BUFFER
process 5, page 1, oldpageret 4 BUFFER
process 1, page 3, oldpageret 1 BUFFER
process 3, page 3, oldpageret 1 BUFFER
process 9, page 7, oldpageret 0 BUFFER
process 10, page 3, oldpageret 1 BUFFER
process 15, page 0, oldpageret 2 BUFFER
process 18, page 0, oldpageret 2 BUFFER
process 11, page 11, oldpageret 3 BUFFER
process 5, page 2, oldpageret 5 BUFFER
process 12, page 3, oldpageret 1 BUFFER
process 19, page 9, oldpageret 3 BUFFER
process 13, page 4, oldpageret 10 BUFFER
process 11, page 0, oldpageret 4 BUFFER
process 1, page 4, oldpageret 2 BUFFER
process 3, page 4, oldpageret 2 BUFFER
process 9, page 8, oldpageret 1 BUFFER
process 5, page 3, oldpageret 6 BUFFER
process 10, page 4, oldpageret 2 BUFFER
process 12, page 4, oldpageret 2 BUFFER
process 13, page 5, oldpageret 11 BUFFER
process 15, page 1, oldpageret 3 BUFFER
process 18, page 1, oldpageret 3 BUFFER
process 19, page 10, oldpageret 4 BUFFER
process 1, page 5, oldpageret 3 BUFFER
process 3, page 5, oldpageret 3 BUFFER
process 9, page 9, oldpageret 2 BUFFER
process 10, page 5, oldpageret 3 BUFFER
process 11, page 1, oldpageret 5 BUFFER
process 12, page 5, oldpageret 3 BUFFER
process 13, page 6, oldpageret 0 BUFFER
process 15, page 2, oldpageret 4 BUFFER
process 19, page 11, oldpageret 5 BUFFER
process 18, page 2, oldpageret 4 BUFFER
process 1, page 6, oldpageret 4 BUFFER
process 3, page 6, oldpageret 4 BUFFER
process 9, page 10, oldpageret 3 BUFFER
process 10, page 6, oldpageret 4 BUFFER
process 19, page 0, oldpageret 6 BUFFER
process 11, page 2, oldpageret 6 BUFFER
process 12, page 6, oldpageret 4 BUFFER
process 13, page 7, oldpageret 1 BUFFER
process 15, page 3, oldpageret 5 BUFFER
process 18, page 3, oldpageret 5 BUFFER
process 1, page 7, oldpageret 5 BUFFER
process 9, page 11, oldpageret 4 BUFFER
process 3, page 7, oldpageret 5 BUFFER
process 10, page 7, oldpageret 5 BUFFER
process 11, page 3, oldpageret 7 BUFFER
process 12, page 7, oldpageret 5 BUFFER
process 13, page 8, oldpageret 2 BUFFER
process 15, page 4, oldpageret 6 BUFFER
process 18, page 4, oldpageret 6 BUFFER
process 9, page 0, oldpageret 5 BUFFER
process 19, page 1, oldpageret 7 BUFFER
process 1, page 8, oldpageret 6 BUFFER
process 3, page 8, oldpageret 6 BUFFER
process 10, page 8, oldpageret 6 BUFFER
process 9, page 1, oldpageret 6 BUFFER
process 12, page 8, oldpageret 6 BUFFER
process 13, page 9, oldpageret 3 BUFFER
process 15, page 5, oldpageret 7 BUFFER
process 18, page 5, oldpageret 7 BUFFER
process 19, page 2, oldpageret 8 BUFFER
process 1, page 0, oldpageret 7 BUFFER
process 3, page 0, oldpageret 7 BUFFER
process 9, page 2, oldpageret 7 BUFFER
process 10, page 9, oldpageret 7 BUFFER
process 12, page 9, oldpageret 7 BUFFER
process 13, page 10, oldpageret 4 BUFFER
process 15, page 6, oldpageret 8 BUFFER
process 1, page 1, oldpageret 8 BUFFER
process 3, page 1, oldpageret 8 BUFFER
process 9, page 3, oldpageret 8 BUFFER
process 18, page 6, oldpageret 8 BUFFER
process 10, page 10, oldpageret 8 BUFFER
process 1, page 2, oldpageret 0 BUFFER
process 3, page 2, oldpageret 0 BUFFER
process 12, page 10, oldpageret 8 BUFFER
process 13, page 11, oldpageret 5 BUFFER
process 15, page 7, oldpageret 0 BUFFER
